2018-09-16T07:10:31.627Z - info: Website generation started at 15:10:17
2018-09-16T07:11:25.623Z - info: Building assets...
2018-09-16T07:11:43.260Z - info: Assets built
2018-09-16T07:11:43.261Z - info: Generating pages...
2018-09-16T07:12:57.042Z - info: Pages built
2018-09-16T07:12:57.676Z - info: Site data built
2018-09-16T07:12:57.677Z - info: Website generation complete! Total build time: 160.018s
2018-09-16T07:12:57.686Z - info: Generate Site durationMs=160026
2018-09-16T07:12:58.251Z - info: Serving "C:\repos\nus-tic2002-2018\website\_site" at http://127.0.0.1:8080
2018-09-16T07:12:58.252Z - info: Press CTRL+C to stop ...
2018-09-16T08:28:57.367Z - info: [16:28:57] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\misc\fileAccess\text.md
2018-09-16T08:28:57.553Z - info: [16:28:57] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\misc\fileAccess\text.md
2018-09-16T08:28:58.656Z - verbose: Rebuild affected paths: C:\repos\nus-tic2002-2018\website\book\cppToJava\misc\fileAccess\text.md
2018-09-16T08:28:58.983Z - info: Rebuilding 5 pages
2018-09-16T08:29:09.297Z - info: [16:29:09] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\week6\index-flat.md
2018-09-16T08:29:09.298Z - info: [16:29:09] Reload for file change: C:\repos\nus-tic2002-2018\website\index.md
2018-09-16T08:29:09.298Z - info: [16:29:09] Reload for file change: C:\repos\nus-tic2002-2018\website\se-book-adapted\chapters\cppToJava.md
2018-09-16T08:29:10.383Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\se-book-adapted\chapters-printable\cppToJava-printable.md
2018-09-16T08:29:10.384Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\week6\outcomes.md
2018-09-16T08:29:10.384Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\common\header.md
2018-09-16T08:29:10.384Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\index.md
